Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,Month_Code,Month_Name,Year,SI,Facility,1st Dose,2nd Dose,3rd Dose,4th Dose,5th Dose,1st Visit,2nd Visit,3rd Visit,4th Visit,Counseling on Post partum FP method,No. of mother Suffering from APH,Inj.antenatal costeroides in(24-34 weeks),No.of Pregnant mother Receive Misoprostol,Normal,C-Section,Others (Forcep/Vacuum/Breech),No. of delivery followed (AMTSL),No. of mother uses Partograph,No. of mother Suffering from IPH,No. of services post abortion care,No. of pre-eclampsia patient,1st Visit (PNC),2nd Visit (PNC),3rd Visit (PNC),4th Visit (PNC),No. of mother counseled on FP method after Postpartum,No. of mother suffering from PPH after Delivery
01,Rajshahi,0111,,011101,,11,November,2024,1,"Bakterpur, UH&FWC",0,0,0,0,0,27,7,6,4,44,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,15,0
01,Rajshahi,0111,,011101,,11,November,2024,2,"Balihar, UH&FWC",0,0,0,0,0,29,13,5,13,60,0,0,4,0,0,0,0,0,0,0,0,0,0,8,3,60,0
01,Rajshahi,0111,,011101,,11,November,2024,3,"Barshail, UH&FWC",0,0,0,0,0,28,10,3,6,47,0,0,1,1,0,0,1,0,0,0,0,1,2,4,12,19,0
01,Rajshahi,0111,,011101,,11,November,2024,4,"Boalia, UH&FWC",0,0,0,0,0,8,16,7,3,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
01,Rajshahi,0111,,011101,,11,November,2024,5,"Chandipur, UH&FWC",0,0,0,0,0,29,11,17,11,68,0,0,2,1,0,0,1,0,0,0,0,1,0,5,5,13,0
01,Rajshahi,0111,,011101,,11,November,2024,6,"Dubalhati, UH&FWC",0,0,0,0,0,30,30,18,10,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,11,November,2024,7,"Hapania, UH&FWC",0,0,0,0,0,28,27,14,23,85,0,0,0,0,0,0,0,0,0,0,0,0,10,11,22,85,0
01,Rajshahi,0111,,011101,,11,November,2024,8,"Hashaigari, UH&FWC",0,0,0,0,0,24,13,8,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,11,November,2024,9,"Kirtipur, UH&FWC",0,0,0,0,0,10,30,18,3,50,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,20,0
01,Rajshahi,0111,,011101,,11,November,2024,10,"Shikarpur, UH&FWC",0,0,0,0,0,8,4,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,23,0
01,Rajshahi,0111,,011101,,11,November,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,15,13,8,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0
01,Rajshahi,0111,,011101,,11,November,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,17,16,13,5,51,0,0,5,0,0,0,0,0,0,0,0,0,0,2,3,5,0
01,Rajshahi,0111,,011101,,11,November,2024,13,"Naogaon, MCWC",4,2,2,6,7,84,93,72,47,34,0,0,0,16,4,0,16,0,0,0,0,20,12,8,13,34,0
01,Rajshahi,0111,,011101,,12,December,2024,1,"Bakterpur, UH&FWC",0,0,0,0,0,22,7,4,9,42,0,0,0,0,0,0,0,0,0,0,0,0,12,7,5,24,0
01,Rajshahi,0111,,011101,,12,December,2024,2,"Balihar, UH&FWC",0,0,0,0,0,24,11,8,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,48,0
01,Rajshahi,0111,,011101,,12,December,2024,3,"Barshail, UH&FWC",0,0,0,0,0,22,12,5,6,45,0,0,1,0,0,0,0,0,0,0,0,0,0,6,14,20,0
01,Rajshahi,0111,,011101,,12,December,2024,4,"Boalia, UH&FWC",0,0,0,0,0,10,7,2,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
01,Rajshahi,0111,,011101,,12,December,2024,5,"Chandipur, UH&FWC",0,0,0,0,0,17,26,6,11,60,0,0,2,1,0,0,1,0,0,0,0,1,0,12,10,83,0
01,Rajshahi,0111,,011101,,12,December,2024,6,"Dubalhati, UH&FWC",0,0,0,0,0,36,33,16,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,12,December,2024,7,"Hapania, UH&FWC",0,0,0,0,0,25,22,11,22,80,0,0,0,0,0,0,0,0,0,0,0,0,25,25,29,79,0
01,Rajshahi,0111,,011101,,12,December,2024,8,"Hashaigari, UH&FWC",0,0,0,0,0,21,12,7,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,12,December,2024,9,"Kirtipur, UH&FWC",0,0,0,0,0,5,18,7,3,20,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,15,0
01,Rajshahi,0111,,011101,,12,December,2024,10,"Shikarpur, UH&FWC",0,0,0,0,0,6,2,2,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,0
01,Rajshahi,0111,,011101,,12,December,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,16,14,7,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
01,Rajshahi,0111,,011101,,12,December,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,5,19,13,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
01,Rajshahi,0111,,011101,,12,December,2024,13,"Naogaon, MCWC",8,9,10,7,2,246,70,35,35,396,0,0,0,18,3,0,18,18,0,0,0,21,12,5,8,29,1
01,Rajshahi,0111,,011101,,01,January,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,8,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,01,January,2025,2,"Balihar, UH&FWC",0,0,0,0,0,29,19,9,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,63,0
01,Rajshahi,0111,,011101,,01,January,2025,3,"Barshail, UH&FWC",0,0,0,0,0,19,21,5,5,50,0,0,1,1,0,0,1,0,0,0,0,1,1,4,14,20,0
01,Rajshahi,0111,,011101,,01,January,2025,4,"Boalia, UH&FWC",0,0,0,0,0,14,10,4,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,30,0
01,Rajshahi,0111,,011101,,01,January,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,43,10,9,11,73,0,0,1,2,0,0,2,0,0,0,0,2,0,23,19,44,0
01,Rajshahi,0111,,011101,,01,January,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,20,28,13,6,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,01,January,2025,7,"Hapania, UH&FWC",0,0,0,0,0,29,11,8,7,41,0,0,0,0,0,0,0,0,0,1,0,0,4,12,14,0,0
01,Rajshahi,0111,,011101,,01,January,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,19,23,15,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,01,January,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,19,25,12,3,35,0,0,0,1,0,0,1,0,0,0,0,1,1,6,12,20,0
01,Rajshahi,0111,,011101,,01,January,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,15,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
01,Rajshahi,0111,,011101,,01,January,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,15,10,4,7,36,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,0
01,Rajshahi,0111,,011101,,01,January,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,9,6,8,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0
01,Rajshahi,0111,,011101,,01,January,2025,13,"Naogaon, MCWC",5,6,4,9,6,141,70,36,30,277,0,2,0,25,2,0,25,25,0,0,0,27,10,12,8,38,0
01,Rajshahi,0111,,011101,,02,February,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,02,February,2025,2,"Balihar, UH&FWC",0,0,0,0,0,20,7,6,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,35,0
01,Rajshahi,0111,,011101,,02,February,2025,3,"Barshail, UH&FWC",0,0,0,0,0,22,22,6,5,55,0,0,1,1,0,0,1,1,0,0,0,1,1,2,14,18,0
01,Rajshahi,0111,,011101,,02,February,2025,4,"Boalia, UH&FWC",0,0,0,0,0,8,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
01,Rajshahi,0111,,011101,,02,February,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,33,14,6,4,57,0,0,0,1,0,0,1,0,0,0,0,1,1,9,19,30,0
01,Rajshahi,0111,,011101,,02,February,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,26,38,15,5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
01,Rajshahi,0111,,011101,,02,February,2025,7,"Hapania, UH&FWC",0,0,0,0,0,30,27,8,9,37,0,0,0,3,0,0,3,0,0,0,0,3,14,10,10,37,0
01,Rajshahi,0111,,011101,,02,February,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,18,7,5,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,02,February,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,7,15,8,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,20,0
01,Rajshahi,0111,,011101,,02,February,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,16,2,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
01,Rajshahi,0111,,011101,,02,February,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,27,11,5,8,51,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,9,0
01,Rajshahi,0111,,011101,,02,February,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,9,11,7,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
01,Rajshahi,0111,,011101,,02,February,2025,13,"Naogaon, MCWC",4,5,4,4,10,145,60,28,30,263,0,3,0,22,2,0,22,0,0,0,0,24,15,9,6,36,0
01,Rajshahi,0111,,011101,,03,March,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,11,6,3,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0
01,Rajshahi,0111,,011101,,03,March,2025,2,"Balihar, UH&FWC",0,0,0,0,0,19,10,5,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,39,0
01,Rajshahi,0111,,011101,,03,March,2025,3,"Barshail, UH&FWC",0,0,0,0,0,18,8,8,5,39,0,0,1,0,0,0,0,0,0,0,0,0,0,3,14,17,0
01,Rajshahi,0111,,011101,,03,March,2025,4,"Boalia, UH&FWC",0,0,0,0,0,11,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
01,Rajshahi,0111,,011101,,03,March,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,23,25,8,6,62,0,0,0,2,0,0,2,0,0,0,0,2,1,8,12,23,0
01,Rajshahi,0111,,011101,,03,March,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,31,20,8,7,66,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
01,Rajshahi,0111,,011101,,03,March,2025,7,"Hapania, UH&FWC",0,0,0,0,0,12,39,24,19,32,0,0,0,0,0,0,0,0,0,0,0,0,16,8,8,32,0
01,Rajshahi,0111,,011101,,03,March,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,13,6,3,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,03,March,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,11,20,9,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,0
01,Rajshahi,0111,,011101,,03,March,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,03,March,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,7,13,6,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0
01,Rajshahi,0111,,011101,,03,March,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,14,9,11,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,03,March,2025,13,"Naogaon, MCWC",3,8,6,2,6,125,39,22,22,208,0,0,0,25,4,0,25,25,1,0,0,29,21,7,6,32,0
01,Rajshahi,0111,,011101,,04,April,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,13,6,2,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0
01,Rajshahi,0111,,011101,,04,April,2025,2,"Balihar, UH&FWC",0,0,0,0,0,34,10,5,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,53,0
01,Rajshahi,0111,,011101,,04,April,2025,3,"Barshail, UH&FWC",0,0,0,0,0,45,13,9,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0
01,Rajshahi,0111,,011101,,04,April,2025,4,"Boalia, UH&FWC",0,0,0,0,0,4,4,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
01,Rajshahi,0111,,011101,,04,April,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,41,10,11,5,67,0,0,0,1,0,0,1,0,0,0,0,1,1,4,14,20,0
01,Rajshahi,0111,,011101,,04,April,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,34,23,13,4,74,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
01,Rajshahi,0111,,011101,,04,April,2025,7,"Hapania, UH&FWC",0,0,0,0,0,25,12,29,9,12,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,12,0
01,Rajshahi,0111,,011101,,04,April,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,24,8,2,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,04,April,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,16,18,13,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0
01,Rajshahi,0111,,011101,,04,April,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,7,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
01,Rajshahi,0111,,011101,,04,April,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,26,9,6,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
01,Rajshahi,0111,,011101,,04,April,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,19,5,8,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,04,April,2025,13,"Naogaon, MCWC",10,9,5,10,8,208,49,26,24,307,0,1,0,28,1,0,28,0,0,0,0,29,20,17,9,36,0
01,Rajshahi,0111,,011101,,05,May,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,10,12,3,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0
01,Rajshahi,0111,,011101,,05,May,2025,2,"Balihar, UH&FWC",0,0,0,0,0,35,11,5,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,55,0
01,Rajshahi,0111,,011101,,05,May,2025,3,"Barshail, UH&FWC",0,0,0,0,0,31,8,5,6,50,0,0,0,1,0,0,1,0,0,0,0,1,1,5,13,20,0
01,Rajshahi,0111,,011101,,05,May,2025,4,"Boalia, UH&FWC",0,0,0,0,0,21,4,3,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
01,Rajshahi,0111,,011101,,05,May,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,31,22,8,6,67,0,0,0,2,0,0,2,0,0,0,0,2,0,11,13,26,0
01,Rajshahi,0111,,011101,,05,May,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,35,7,9,4,55,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0
01,Rajshahi,0111,,011101,,05,May,2025,7,"Hapania, UH&FWC",0,0,0,0,0,41,25,26,40,70,0,0,0,1,0,0,1,0,0,0,0,1,13,25,21,60,0
01,Rajshahi,0111,,011101,,05,May,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,6,4,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
01,Rajshahi,0111,,011101,,05,May,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,16,20,15,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,40,0
01,Rajshahi,0111,,011101,,05,May,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,23,2,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,05,May,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,31,7,3,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0
01,Rajshahi,0111,,011101,,05,May,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,16,0,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,05,May,2025,13,"Naogaon, MCWC",6,17,7,17,8,192,47,34,22,289,0,0,0,27,1,0,27,10,0,0,0,28,22,15,7,38,0
01,Rajshahi,0111,,011101,,06,June,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,7,5,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0
01,Rajshahi,0111,,011101,,06,June,2025,2,"Balihar, UH&FWC",0,0,0,0,0,20,10,4,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,39,0
01,Rajshahi,0111,,011101,,06,June,2025,3,"Barshail, UH&FWC",0,0,0,0,0,25,9,4,5,43,0,0,0,1,0,0,1,0,0,0,0,1,1,6,10,18,0
01,Rajshahi,0111,,011101,,06,June,2025,4,"Boalia, UH&FWC",0,0,0,0,0,6,6,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
01,Rajshahi,0111,,011101,,06,June,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,27,4,7,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
01,Rajshahi,0111,,011101,,06,June,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,14,13,4,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,20,0
01,Rajshahi,0111,,011101,,06,June,2025,7,"Hapania, UH&FWC",0,0,0,0,0,23,46,24,69,34,0,0,0,1,0,0,1,0,0,0,0,1,12,12,6,34,0
01,Rajshahi,0111,,011101,,06,June,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,4,6,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0
01,Rajshahi,0111,,011101,,06,June,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,7,20,8,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,30,0
01,Rajshahi,0111,,011101,,06,June,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,3,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,06,June,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,16,13,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
01,Rajshahi,0111,,011101,,06,June,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,12,4,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,06,June,2025,13,"Naogaon, MCWC",6,9,5,6,1,166,64,29,28,287,0,1,0,31,1,0,31,32,0,0,0,32,23,9,9,36,0
01,Rajshahi,0111,,011101,,07,July,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,13,12,7,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
01,Rajshahi,0111,,011101,,07,July,2025,2,"Balihar, UH&FWC",0,0,0,0,0,36,12,9,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,61,0
01,Rajshahi,0111,,011101,,07,July,2025,3,"Barshail, UH&FWC",0,0,0,0,0,18,18,7,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,16,0
01,Rajshahi,0111,,011101,,07,July,2025,4,"Boalia, UH&FWC",0,0,0,0,0,4,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
01,Rajshahi,0111,,011101,,07,July,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,35,8,3,6,52,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,15,0
01,Rajshahi,0111,,011101,,07,July,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,37,25,4,6,72,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,16,0
01,Rajshahi,0111,,011101,,07,July,2025,7,"Hapania, UH&FWC",0,0,0,0,0,29,41,46,78,35,0,0,0,1,0,0,1,0,0,0,0,1,12,22,1,35,0
01,Rajshahi,0111,,011101,,07,July,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,8,6,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,10,0
01,Rajshahi,0111,,011101,,07,July,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,8,15,10,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,20,0
01,Rajshahi,0111,,011101,,07,July,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,2,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,07,July,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,18,7,3,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
01,Rajshahi,0111,,011101,,07,July,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,15,7,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,07,July,2025,13,"Naogaon, MCWC",6,2,4,8,2,182,56,22,17,277,0,1,0,32,0,0,32,32,0,1,0,32,20,10,30,44,0
01,Rajshahi,0111,,011101,,08,August,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,20,4,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,08,August,2025,2,"Balihar, UH&FWC",0,0,0,0,0,32,16,6,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,60,0
01,Rajshahi,0111,,011101,,08,August,2025,3,"Barshail, UH&FWC",0,0,0,0,0,27,13,6,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17,0
01,Rajshahi,0111,,011101,,08,August,2025,4,"Boalia, UH&FWC",0,0,0,0,0,14,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,08,August,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,43,7,5,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,0
01,Rajshahi,0111,,011101,,08,August,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,48,13,11,4,79,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,19,0
01,Rajshahi,0111,,011101,,08,August,2025,7,"Hapania, UH&FWC",0,0,0,0,0,38,23,26,95,83,0,0,0,0,0,0,0,0,0,0,0,0,6,11,66,83,0
01,Rajshahi,0111,,011101,,08,August,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,17,8,2,4,31,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0
01,Rajshahi,0111,,011101,,08,August,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,12,29,10,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,20,0
01,Rajshahi,0111,,011101,,08,August,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,08,August,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,17,11,4,7,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
