Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,Month_Code,Month_Name,Year,SI,Facility,No. of neonatal start KMC,No. of neonatal start KMC hospital delivery,No. of child discharge,No. of child discharge on request,No. of child discontinue KMC services,No. of child reffered for complication,No. of death received KMC services,No. of neonatal KMC followup,BCG (after birth),1/Child age 6 weeks,2/Child age 10 weeks,3/Child age 14 weeks,1/Child age 6 weeks (PCV),2/Child age 10 weeks (PCV),3/Child age 14 weeks (PCV),1/Child age 6 weeks (BOPV),2/Child age 10 weeks (BOPV),3/Child age 14 weeks (BOPV),1/Child age 6 weeks (IPV),2/Child age 14 weeks (IPV),1/Child age 9 months,2/Child age 15 months,Live Birth,Low birth weight Newborn (weight <2500gm),Low birth weight Newborn (weight <2000gm),Low birth weight Newborn (Before 37 weeks),Fresh,Macerated,Total still birth,Neo-Death Maternal,Maternal Death,Male,Female,Child Male (0-1)year,Child Female (0-5)year,Others,Total,Female (Outdoor),Child (0-1) year,Child (0-5) year,Total (Outdoor),No. of Facility Health Education,No. of School Health Education by SACMO
01,Rajshahi,0111,,011101,,10,October,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,309,36,121,21,510,0,0,0,,2,0
01,Rajshahi,0111,,011101,,10,October,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,9,46,2,228,0,0,0,,0,0
01,Rajshahi,0111,,011101,,10,October,2024,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,7,9,9,7,9,9,7,9,9,7,0,15,9,6,14,0,0,0,0,0,0,0,0,32,567,42,153,3,797,29,0,0,,4,0
01,Rajshahi,0111,,011101,,11,November,2024,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,222,23,86,0,346,0,0,0,,4,0
01,Rajshahi,0111,,011101,,11,November,2024,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,471,45,144,7,754,0,0,0,,4,0
01,Rajshahi,0111,,011101,,11,November,2024,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,826,61,176,12,1097,0,0,0,,4,0
01,Rajshahi,0111,,011101,,11,November,2024,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,396,63,110,0,631,0,0,0,,4,0
01,Rajshahi,0111,,011101,,11,November,2024,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,1030,44,219,20,1348,0,0,0,,4,4
01,Rajshahi,0111,,011101,,11,November,2024,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,746,33,85,0,886,0,0,0,,0,0
01,Rajshahi,0111,,011101,,11,November,2024,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,609,60,175,5,880,0,0,0,,4,4
01,Rajshahi,0111,,011101,,11,November,2024,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,109,12,14,0,141,0,0,0,,0,0
01,Rajshahi,0111,,011101,,11,November,2024,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,492,39,143,0,751,0,0,0,,4,0
01,Rajshahi,0111,,011101,,11,November,2024,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112,20,60,5,210,0,0,0,,0,0
01,Rajshahi,0111,,011101,,11,November,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,365,38,141,25,591,0,0,0,,2,0
01,Rajshahi,0111,,011101,,11,November,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,30,84,4,319,0,0,0,,0,0
01,Rajshahi,0111,,011101,,11,November,2024,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,14,9,13,7,9,13,7,9,13,7,0,24,7,17,20,0,0,0,0,0,0,0,0,12,412,27,106,3,560,34,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,175,19,83,0,282,0,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,330,27,91,5,534,0,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,391,34,93,6,536,0,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,200,20,80,0,350,0,0,0,,0,0
01,Rajshahi,0111,,011101,,12,December,2024,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,780,30,182,24,1048,0,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,673,44,191,0,934,0,0,0,,0,0
01,Rajshahi,0111,,011101,,12,December,2024,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,705,81,187,12,1097,0,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,20,32,0,171,0,0,0,,0,0
01,Rajshahi,0111,,011101,,12,December,2024,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,398,29,112,0,629,0,0,0,,4,0
01,Rajshahi,0111,,011101,,12,December,2024,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,22,56,10,188,0,0,0,,0,0
01,Rajshahi,0111,,011101,,12,December,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,269,28,86,12,416,0,0,0,,2,0
01,Rajshahi,0111,,011101,,12,December,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,33,56,3,274,0,0,0,,0,0
01,Rajshahi,0111,,011101,,12,December,2024,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,14,9,12,14,9,12,14,9,12,14,0,0,6,19,21,0,0,0,0,0,0,0,0,10,295,29,41,3,378,29,0,0,,4,0
01,Rajshahi,0111,,011101,,01,January,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,5,0,54,0,0,0,,2,0
01,Rajshahi,0111,,011101,,01,January,2025,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,4,20,0,67,0,0,0,,4,0
01,Rajshahi,0111,,011101,,01,January,2025,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,430,49,107,6,608,0,0,0,,4,0
01,Rajshahi,0111,,011101,,01,January,2025,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,22,50,0,140,0,0,0,,0,0
01,Rajshahi,0111,,011101,,01,January,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,538,74,136,17,789,0,0,0,,4,4
01,Rajshahi,0111,,011101,,01,January,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,160,12,41,0,221,0,0,0,,0,0
01,Rajshahi,0111,,011101,,01,January,2025,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,276,25,68,0,392,0,0,0,,4,4
01,Rajshahi,0111,,011101,,01,January,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,4,17,0,83,0,0,0,,0,0
01,Rajshahi,0111,,011101,,01,January,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,155,12,42,0,227,0,0,0,,0,0
01,Rajshahi,0111,,011101,,01,January,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,15,2,44,0,0,0,,0,0
01,Rajshahi,0111,,011101,,01,January,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,240,35,106,14,404,0,0,0,,2,0
01,Rajshahi,0111,,011101,,01,January,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,3,19,2,160,0,0,0,,0,0
01,Rajshahi,0111,,011101,,01,January,2025,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,10,10,3,12,10,3,12,10,3,12,0,0,9,9,27,1,0,1,0,0,0,0,0,9,93,0,67,3,172,38,0,0,,4,0
01,Rajshahi,0111,,011101,,02,February,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
01,Rajshahi,0111,,011101,,02,February,2025,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,4,13,0,84,0,0,0,,4,0
01,Rajshahi,0111,,011101,,02,February,2025,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,395,39,79,6,527,0,0,0,,4,0
01,Rajshahi,0111,,011101,,02,February,2025,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
01,Rajshahi,0111,,011101,,02,February,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,412,29,106,8,565,0,0,0,,4,4
01,Rajshahi,0111,,011101,,02,February,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,45,17,0,124,0,0,0,,4,0
01,Rajshahi,0111,,011101,,02,February,2025,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,164,5,16,0,195,0,0,0,,4,4
01,Rajshahi,0111,,011101,,02,February,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,12,0,34,0,0,0,,2,0
01,Rajshahi,0111,,011101,,02,February,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89,0,2,0,97,0,0,0,,0,0
01,Rajshahi,0111,,011101,,02,February,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,10,0,0,0,,0,0
01,Rajshahi,0111,,011101,,02,February,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,116,22,57,0,198,0,0,0,,2,0
01,Rajshahi,0111,,011101,,02,February,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,9,24,5,101,0,0,0,,0,0
01,Rajshahi,0111,,011101,,02,February,2025,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,9,11,11,2,11,11,2,11,11,2,0,0,11,12,24,0,0,0,0,0,0,0,0,6,52,7,17,0,82,36,0,0,,4,0
01,Rajshahi,0111,,011101,,03,March,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55,13,34,0,107,0,0,0,,0,0
01,Rajshahi,0111,,011101,,03,March,2025,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,66,3,22,1,110,0,0,0,,4,0
01,Rajshahi,0111,,011101,,03,March,2025,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,353,28,79,6,470,0,0,0,,4,0
01,Rajshahi,0111,,011101,,03,March,2025,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,10,0,30,0,0,0,,0,0
01,Rajshahi,0111,,011101,,03,March,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,327,32,97,11,484,0,0,0,,4,0
01,Rajshahi,0111,,011101,,03,March,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,7,22,0,85,0,0,0,,5,0
01,Rajshahi,0111,,011101,,03,March,2025,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,207,34,37,0,298,0,0,0,,4,0
01,Rajshahi,0111,,011101,,03,March,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,8,0,28,0,0,0,,0,0
01,Rajshahi,0111,,011101,,03,March,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
01,Rajshahi,0111,,011101,,03,March,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,4,18,0,0,0,,2,0
01,Rajshahi,0111,,011101,,03,March,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,16,57,0,176,0,0,0,,0,0
01,Rajshahi,0111,,011101,,03,March,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,1,15,0,56,0,0,0,,0,0
01,Rajshahi,0111,,011101,,03,March,2025,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,5,9,6,6,9,6,6,9,6,6,0,6,7,8,29,0,0,0,0,0,0,0,0,2,56,0,4,0,62,32,0,0,,4,0
01,Rajshahi,0111,,011101,,04,April,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,111,26,29,0,181,0,0,0,,0,0
01,Rajshahi,0111,,011101,,04,April,2025,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,71,7,14,0,111,0,0,0,,4,0
01,Rajshahi,0111,,011101,,04,April,2025,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,150,13,29,6,206,0,0,0,,4,0
01,Rajshahi,0111,,011101,,04,April,2025,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,5,8,0,40,0,0,0,,0,0
01,Rajshahi,0111,,011101,,04,April,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,248,43,98,12,412,0,0,0,,4,4
01,Rajshahi,0111,,011101,,04,April,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,11,26,0,122,0,0,0,,4,0
01,Rajshahi,0111,,011101,,04,April,2025,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,237,15,52,0,322,0,0,0,,4,4
01,Rajshahi,0111,,011101,,04,April,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,3,10,0,35,0,0,0,,0,0
01,Rajshahi,0111,,011101,,04,April,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,82,8,7,0,104,0,0,0,,0,0
01,Rajshahi,0111,,011101,,04,April,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,18,2,31,0,0,0,,0,0
01,Rajshahi,0111,,011101,,04,April,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112,11,37,0,162,0,0,0,,2,0
01,Rajshahi,0111,,011101,,04,April,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,1,12,0,49,0,0,0,,0,0
01,Rajshahi,0111,,011101,,04,April,2025,13,"Naogaon, MCWC",0,0,0,0,0,0,0,0,15,15,9,7,15,9,7,15,9,7,0,11,9,11,29,0,0,0,0,0,0,0,0,0,38,0,7,0,45,36,0,0,,4,0
01,Rajshahi,0111,,011101,,05,May,2025,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,98,18,34,0,157,0,0,0,,0,0
01,Rajshahi,0111,,011101,,05,May,2025,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,76,3,26,0,121,0,0,0,,4,0
01,Rajshahi,0111,,011101,,05,May,2025,3,"Barshail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,192,17,21,6,244,0,0,0,,4,0
01,Rajshahi,0111,,011101,,05,May,2025,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,8,10,0,48,0,0,0,,0,0
01,Rajshahi,0111,,011101,,05,May,2025,5,"Chandipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,303,58,103,10,486,0,0,0,,4,4
01,Rajshahi,0111,,011101,,05,May,2025,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,6,13,0,54,0,0,0,,3,0
01,Rajshahi,0111,,011101,,05,May,2025,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,173,78,54,0,315,0,0,0,,4,0
01,Rajshahi,0111,,011101,,05,May,2025,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,5,0,19,0,0,0,,0,0
01,Rajshahi,0111,,011101,,05,May,2025,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,53,6,26,0,97,0,0,0,,0,0
01,Rajshahi,0111,,011101,,05,May,2025,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,10,1,24,0,0,0,,0,0
01,Rajshahi,0111,,011101,,05,May,2025,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,11,30,0,113,0,0,0,,2,0
01,Rajshahi,0111,,011101,,05,May,2025,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,4,11,0,63,0,0,0,,0,0
