Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,1st Dose,2nd Dose,3rd Dose,4th Dose,5th Dose,1st Visit,2nd Visit,3rd Visit,4th Visit,Counseling on Post partum FP method,No. of mother Suffering from APH,Inj.antenatal costeroides in(24-34 weeks),No.of Pregnant mother Receive Misoprostol,Normal,C-Section,Others (Forcep/Vacuum/Breech),No. of delivery followed (AMTSL),No. of mother uses Partograph,No. of mother Suffering from IPH,No. of services post abortion care,No. of pre-eclampsia patient,1st Visit (PNC),2nd Visit (PNC),3rd Visit (PNC),4th Visit (PNC),No. of mother counseled on FP method after Postpartum,No. of mother suffering from PPH after Delivery
01,Rajshahi,0109,Bogura,010903,Shibganj,6,"Kichak, UH&FWC",0,0,0,0,0,91,27,14,20,155,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,14,0
01,Rajshahi,0109,Bogura,010903,Shibganj,7,"Maidanhata, Rural Dispensary(RD)",0,0,0,0,0,27,26,8,8,59,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,24,0
01,Rajshahi,0109,Bogura,010903,Shibganj,8,"Majhihatta, UH&FWC",0,0,0,0,0,181,196,102,105,507,0,0,1,0,0,0,0,0,0,0,0,0,22,22,38,81,0
01,Rajshahi,0109,Bogura,010903,Shibganj,9,"Mokamtala, Rural Dispensary(RD)",0,0,0,0,0,152,106,43,20,321,0,0,1,0,0,0,0,0,0,0,0,0,13,15,10,38,0
01,Rajshahi,0109,Bogura,010903,Shibganj,10,"Pirab, Rural Dispensary(RD)",0,0,0,0,0,132,81,56,31,300,0,0,6,0,0,0,0,0,0,0,0,0,18,13,4,33,0
01,Rajshahi,0109,Bogura,010903,Shibganj,11,"Rainagar, UH&FWC",0,0,0,0,0,156,88,57,46,347,0,0,1,1,0,0,1,0,0,0,0,1,11,33,61,104,0
01,Rajshahi,0109,Bogura,010903,Shibganj,12,"Saidpur, Rural Dispensary(RD)",0,0,0,0,0,51,23,24,34,95,0,0,4,0,0,0,0,0,0,0,0,0,0,7,31,40,0
01,Rajshahi,0109,Bogura,010903,Shibganj,13,"Shibganj, UH&FWC",0,0,0,0,0,0,146,175,32,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,1,"Dhunot, MCH-FP Unit",0,0,0,0,0,208,141,94,51,493,0,0,0,0,0,0,0,0,0,1,0,80,66,61,46,369,0
01,Rajshahi,0109,Bogura,010904,Dhunot,2,"Bhandarbari, UH&FWC",0,0,0,0,0,52,43,31,20,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,137,0
01,Rajshahi,0109,Bogura,010904,Dhunot,3,"Chaukibari, UH&FWC",0,0,0,0,0,180,84,57,23,141,0,0,0,5,0,0,5,0,0,0,0,5,2,31,30,67,0
01,Rajshahi,0109,Bogura,010904,Dhunot,4,"Chikashi, UH&FWC",0,0,0,0,0,216,208,136,108,668,0,0,0,0,0,0,0,0,0,0,0,0,17,42,55,108,0
01,Rajshahi,0109,Bogura,010904,Dhunot,5,"Dhunat, Sadar Clinic",0,0,0,0,0,301,304,237,172,1014,0,0,3,0,0,0,0,0,0,0,0,0,0,0,78,887,0
01,Rajshahi,0109,Bogura,010904,Dhunot,6,"Elangi, UH&FWC",0,0,0,0,0,203,113,56,34,353,0,0,4,1,0,0,0,0,0,0,0,6,11,21,34,78,25
01,Rajshahi,0109,Bogura,010904,Dhunot,7,"Gopalnagar, Rural Dispensary(RD)",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,8,"Gosainbari, Rural Dispensary(RD)",0,0,0,0,0,47,20,15,3,42,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,5,0
01,Rajshahi,0109,Bogura,010904,Dhunot,9,"Kaler Para, Rural Dispensary(RD)",0,0,0,0,0,74,34,26,28,145,0,0,0,0,0,0,0,0,0,0,0,1,11,24,31,62,0
01,Rajshahi,0109,Bogura,010904,Dhunot,10,"Mathurapur, UH&FWC",0,0,0,0,0,79,119,86,48,332,0,0,2,0,0,0,0,0,0,0,0,0,0,5,11,53,0
01,Rajshahi,0109,Bogura,010904,Dhunot,11,"Nimgachhi, UH&FWC",0,0,0,0,0,458,268,110,45,810,0,0,0,0,0,0,0,0,0,0,0,0,14,51,107,172,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,1,"Chamrul, UH&FWC",0,0,0,0,0,88,37,27,24,66,0,0,8,0,0,0,0,0,0,0,0,0,0,19,56,69,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,2,"Dhupchanchia, Sadar Clinic",0,0,0,0,0,239,81,31,27,344,0,0,6,0,0,0,0,0,0,0,0,0,2,9,73,85,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,3,"Gobindapur, UH&FWC",0,0,0,0,0,211,76,51,29,275,0,0,4,0,0,0,0,0,0,0,0,0,0,1,63,59,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,4,"Gunahar, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,5,"Talora, UH&FWC",36,7,4,4,51,363,100,75,59,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,228,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,6,"Zianagar, UH&FWC",0,0,0,0,0,356,135,78,66,635,0,0,4,17,0,0,17,13,0,0,0,17,5,28,65,115,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,7,"Dupchanchia, Bogra, MCWC",13,14,16,22,11,747,201,131,90,495,43,0,26,270,0,0,270,9,0,0,0,270,120,82,49,440,0
01,Rajshahi,0109,Bogura,010906,Nandigram,1,"Nandigram, MCH-FP Unit",0,0,0,0,0,70,32,45,44,67,0,0,11,0,0,0,0,0,0,0,0,0,4,40,33,61,0
01,Rajshahi,0109,Bogura,010906,Nandigram,2,"Burail, UH&FWC",0,0,0,0,0,349,258,234,254,259,0,0,4,5,0,0,5,0,0,0,0,40,119,135,140,249,0
01,Rajshahi,0109,Bogura,010906,Nandigram,3,"Nandigram, UH&FWC",0,0,0,0,0,573,332,233,136,295,0,0,9,0,0,0,0,0,0,0,0,117,23,0,0,116,0
01,Rajshahi,0109,Bogura,010906,Nandigram,4,"Thalta Majhgram, UH&FWC",0,0,0,0,0,63,8,0,0,71,0,0,1,0,0,0,0,0,0,0,0,5,5,5,5,5,0
01,Rajshahi,0109,Bogura,010906,Nandigram,5,"Kumira, Nandigram, MCWC",0,0,0,0,0,191,76,35,22,53,0,0,9,0,0,0,0,0,0,0,0,46,14,0,0,34,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,1,"Adamdighi, Sadar Clinic",0,0,0,0,0,627,206,220,111,255,0,0,6,0,0,0,0,0,0,0,0,0,13,54,94,226,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,2,"Champapur, Rural Dispensary(RD)",0,0,0,0,4,50,21,25,34,70,0,0,4,0,0,0,0,0,0,0,0,0,3,22,37,56,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,3,"Chhatiangram, Rural Dispensary(RD)",0,0,0,0,42,343,336,190,143,140,5,0,0,34,0,0,34,34,0,3,5,34,48,28,42,182,1
01,Rajshahi,0109,Bogura,010907,Adamdighi,4,"Kundagram, Rural Dispensary(RD)",0,0,0,0,8,48,31,56,34,141,0,0,0,0,0,0,0,0,0,0,0,0,6,15,46,118,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,5,"Nasratpur, Rural Dispensary(RD)",0,0,0,0,0,54,20,23,23,98,0,0,2,0,0,0,0,0,0,0,0,0,4,12,23,61,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,6,"Shantahar (KA), Rural Dispensary(RD)",0,0,0,0,6,49,26,30,27,111,0,0,1,0,0,0,0,0,0,0,0,0,3,18,39,98,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,7,"Shantahar (KHA), Rural Dispensary(RD)",0,0,0,0,4,36,25,30,37,108,0,0,1,0,0,0,0,0,0,0,0,0,2,20,40,44,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,1,"Erulia, UH&FWC",163,164,152,166,102,355,339,969,368,1117,0,0,9,0,0,0,0,0,0,0,0,0,131,140,57,258,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,2,"Fapore, UH&FWC",0,0,0,0,0,322,212,115,56,355,0,0,12,0,0,0,0,0,0,0,0,0,4,29,116,90,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,3,"Gokul, UH&FWC",0,0,0,0,0,313,60,23,7,143,0,0,2,0,0,0,0,0,0,0,0,0,0,19,18,1,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,4,"Lahiri Para, UH&FWC",0,0,0,0,0,286,183,121,76,412,0,0,0,0,0,0,0,0,0,0,0,0,9,40,36,35,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,5,"Namuja, UH&FWC",7,9,6,5,11,204,199,125,76,463,0,0,3,0,0,0,0,0,0,0,0,4,42,116,158,279,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,6,"Nishindara, UH&FWC",0,0,0,0,0,353,272,239,131,651,17,0,2,0,0,0,0,0,0,0,0,0,0,21,87,101,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,7,"Noongola, UH&FWC",0,0,0,0,0,436,157,85,51,760,0,0,4,0,0,0,0,0,0,0,0,0,9,26,35,70,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,8,"Rajapur, UH&FWC",0,0,0,0,0,288,183,162,198,442,0,0,11,0,0,0,0,0,0,0,0,2,9,13,21,14,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,9,"Sekherkola, UH&FWC",7,5,2,2,4,271,146,73,50,357,0,0,25,0,0,0,0,0,0,0,0,1,6,25,15,45,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,10,"Shabgram, UH&FWC",0,0,0,0,0,479,167,102,93,791,0,0,0,15,0,0,15,12,0,0,1,15,0,13,48,593,63
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,11,"Shakharia, UH&FWC",0,0,0,0,0,272,296,220,171,780,0,0,28,0,0,0,0,0,0,1,0,0,54,64,99,272,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,12,"Bogra, MCWC",293,266,184,187,161,2448,1285,865,929,5525,0,5,27,431,12,0,431,443,0,0,1,488,349,296,274,1362,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,13,"Noongola, Bogra Sadar, MCWC",0,0,0,0,0,143,59,28,25,255,0,0,14,0,0,0,0,0,0,0,0,0,2,10,19,25,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,1,"Kahaloo, Sadar Clinic",0,0,0,0,0,310,304,277,211,257,0,0,2,0,0,0,0,0,0,0,0,0,19,21,11,257,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,2,"Bir Kedar, UH&FWC",25,16,7,4,6,316,210,86,39,218,0,0,3,0,0,0,0,0,0,0,0,0,9,20,32,84,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,3,"Durgapur, Rural Dispensary(RD)",16,8,6,7,0,158,57,47,21,186,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,17,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,4,"Jamgaon, UH&FWC",0,0,0,0,0,245,87,44,22,53,0,0,1,0,0,0,0,0,0,0,0,0,0,37,44,41,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,5,"Kalal Majh Para, Rural Dispensary(RD)",0,0,0,0,0,433,342,254,144,129,0,0,2,0,0,0,0,0,0,0,0,0,16,25,39,120,12
01,Rajshahi,0109,Bogura,010909,Kahaloo,6,"Malancha, Rural Dispensary(RD)",0,0,0,0,0,439,290,177,129,116,0,0,0,0,0,0,0,0,0,0,0,0,15,25,33,117,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,7,"Narahatta, Rural Dispensary(RD)",48,19,16,14,10,499,277,213,152,146,0,0,1,0,0,0,0,0,0,0,0,0,27,42,70,156,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,8,"Paikar, UH&FWC",0,0,0,0,0,131,62,34,24,160,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,30,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,9,"Muril, UH&FWC",14,13,11,7,45,314,233,134,96,776,0,0,3,10,0,0,8,10,0,0,0,10,16,33,125,206,0
01,Rajshahi,0109,Bogura,010910,Gabtali,1,"Gabtali, Sadar Clinic",0,0,0,0,0,192,86,37,10,322,0,0,0,0,0,0,0,0,0,0,0,38,53,17,9,112,0
01,Rajshahi,0109,Bogura,010910,Gabtali,2,"Balia Dighi, Rural Dispensary(RD)",0,0,0,0,0,179,53,50,19,213,0,0,0,0,0,0,0,0,0,0,0,2,2,10,8,23,0
01,Rajshahi,0109,Bogura,010910,Gabtali,3,"Durgahata, UH&FWC",0,0,0,0,0,393,290,228,97,744,0,0,0,0,0,0,0,0,0,0,0,0,11,103,163,250,0
01,Rajshahi,0109,Bogura,010910,Gabtali,4,"Gabtali, Sadar Clinic",0,0,0,0,0,298,169,83,51,504,0,0,0,0,0,0,0,0,0,0,0,0,27,13,8,86,0
01,Rajshahi,0109,Bogura,010910,Gabtali,5,"Kagail, UH&FWC",0,0,0,0,0,250,297,273,169,914,0,0,0,0,0,0,0,0,0,0,0,0,5,48,115,168,0
01,Rajshahi,0109,Bogura,010910,Gabtali,6,"Mahishaban, Rural Dispensary(RD)",0,0,0,0,0,121,88,46,35,171,0,0,1,0,0,0,0,0,0,0,0,0,7,10,7,9,0
01,Rajshahi,0109,Bogura,010910,Gabtali,7,"Naruamala, UH&FWC",0,0,0,0,0,345,148,76,67,363,0,0,0,0,0,0,0,0,0,0,0,0,7,20,43,56,2
01,Rajshahi,0109,Bogura,010910,Gabtali,8,"Nasipur, UH&FWC",0,0,0,0,0,284,235,112,62,321,0,0,0,1,0,0,1,0,0,0,0,4,51,51,60,117,0
01,Rajshahi,0109,Bogura,010910,Gabtali,9,"Nepaltali, Rural Dispensary(RD)",0,0,0,0,0,359,91,58,19,379,0,0,0,0,0,0,0,0,0,0,0,13,6,27,25,51,0
01,Rajshahi,0109,Bogura,010910,Gabtali,10,"Rameshwarpur, Rural Dispensary(RD)",0,0,0,0,0,203,50,21,13,222,0,0,0,0,0,0,0,0,0,0,0,7,4,11,12,32,0
01,Rajshahi,0109,Bogura,010910,Gabtali,11,"Sonarai, UH&FWC",0,0,0,0,0,417,234,161,47,846,0,0,0,0,0,0,0,0,0,0,0,20,37,43,144,258,0
01,Rajshahi,0109,Bogura,010910,Gabtali,12,"Dhakhinpara, UH&FWC",17,6,7,6,36,201,124,62,71,467,0,0,0,0,0,0,0,0,0,0,0,0,8,21,105,123,0
01,Rajshahi,0109,Bogura,010911,Sonatola,1,"Sonatola, Sadar Clinic",0,0,0,0,0,234,184,210,183,811,0,0,0,0,0,0,0,0,0,0,0,0,31,45,69,145,0
01,Rajshahi,0109,Bogura,010911,Sonatola,2,"Balua, Rural Dispensary(RD)",0,0,0,0,0,247,166,158,134,705,0,0,1,0,0,0,0,0,0,0,0,0,62,64,77,203,0
01,Rajshahi,0109,Bogura,010911,Sonatola,3,"Digdair, UH&FWC",0,0,0,0,0,379,270,168,119,936,0,0,14,8,0,0,8,6,0,0,0,8,7,62,195,272,0
01,Rajshahi,0109,Bogura,010911,Sonatola,4,"Jorgachha, UH&FWC",0,0,0,0,0,275,138,125,88,626,0,0,4,0,0,0,0,0,0,0,0,0,0,8,48,56,0
01,Rajshahi,0109,Bogura,010911,Sonatola,5,"Madhupur, UH&FWC",0,0,0,0,0,211,110,107,100,528,0,0,7,5,0,0,5,5,0,0,0,5,58,77,77,217,0
01,Rajshahi,0109,Bogura,010911,Sonatola,6,"Tekani Chukainagar, UH&FWC",0,0,0,0,0,71,105,76,33,285,0,0,12,0,0,0,0,0,0,0,0,0,24,34,50,108,0
01,Rajshahi,0109,Bogura,010911,Sonatola,7,"pakullah, UH&FWC",0,0,0,0,0,114,49,44,43,250,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,1,"Shajahanpur, Sadar Clinic",4,1,0,0,0,27,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,2,"Ashekpur, UH&FWC",0,0,0,0,0,313,179,139,157,680,0,0,1,4,0,0,4,0,0,0,0,4,18,27,125,174,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,3,"Mazira, UH&FWC",0,0,0,0,0,186,77,37,24,314,0,0,6,0,0,0,0,0,0,0,0,1,12,7,42,70,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,4,"Amrul, UH&FWC",0,0,0,0,0,323,250,186,199,958,0,0,4,0,0,0,0,0,0,0,0,0,10,40,172,329,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,5,"Madla, UH&FWC",0,0,0,0,0,418,420,519,264,1008,0,0,3,0,0,0,0,0,0,0,0,2,22,79,234,258,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,6,"Sultangoanj, UH&FWC",0,0,0,0,0,148,164,156,143,431,0,0,11,0,0,0,0,0,0,0,0,5,49,45,51,189,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,7,"Aria, UH&FWC",0,0,0,0,0,345,183,110,85,723,0,0,0,0,0,0,0,0,0,0,0,0,13,21,52,341,74
01,Rajshahi,0109,Bogura,010912,Shajahanpur,8,"Kharna, UH&FWC",0,0,0,0,0,258,115,99,77,401,0,0,0,0,0,0,0,0,0,0,0,0,46,41,41,66,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,9,"Gohael, UH&FWC",0,0,0,0,0,308,31,14,7,243,0,0,0,0,0,0,0,0,0,0,0,36,11,3,2,22,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,10,"Khottapara, UH&FWC",0,0,0,0,0,356,287,257,209,1111,0,0,0,4,0,0,4,1,0,0,0,11,20,58,227,286,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,11,"Chopinagar, UH&FWC",0,0,0,0,0,382,163,77,34,525,0,0,2,0,0,0,0,0,0,0,0,0,0,16,23,148,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,12,"CMH Bogra Cantonment, Others",149,158,119,80,223,551,443,343,433,0,0,0,0,191,807,0,191,0,0,0,0,998,765,634,498,59,0
01,Rajshahi,0110,Joypurhat,011001,Khetlal,1,"Khetlal, MCH-FP Unit",0,0,0,0,0,16,5,2,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,2,0
01,Rajshahi,0110,Joypurhat,011001,Khetlal,2,"Alampur, UH&FWC",0,0,0,0,0,150,143,53,12,0,0,0,3,3,0,0,3,0,0,0,0,3,0,0,57,0,0
01,Rajshahi,0110,Joypurhat,011001,Khetlal,3,"Barail, UH&FWC",0,0,0,0,0,131,95,36,44,166,0,0,0,2,0,0,2,0,0,0,0,2,2,3,21,49,0
01,Rajshahi,0110,Joypurhat,011001,Khetlal,4,"Baratara, UH&FWC",0,0,0,0,0,192,211,57,34,494,0,0,0,29,0,0,29,0,0,0,0,29,0,0,37,67,0
01,Rajshahi,0110,Joypurhat,011001,Khetlal,5,"Khetlal, Sadar Clinic",11,8,27,18,15,236,247,188,92,443,0,0,3,13,0,0,13,3,0,0,0,19,52,150,280,302,0
01,Rajshahi,0110,Joypurhat,011001,Khetlal,6,"Mamudpur, UH&FWC",11,9,15,13,13,150,121,89,67,344,102,0,0,33,0,0,33,0,0,0,0,33,8,3,156,111,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,1,"Akkelpur, Sadar Clinic",0,0,0,0,0,560,186,103,50,899,0,0,23,0,0,0,0,0,0,0,0,0,0,0,150,144,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,2,"Gopinathpur, UH&FWC",20,13,11,6,17,247,224,139,98,236,0,0,26,34,0,0,34,21,0,0,0,34,61,51,30,230,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,3,"Raikali, UH&FWC",0,0,0,0,0,144,107,83,75,105,0,1,7,11,0,0,11,4,0,0,10,51,39,39,38,51,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,4,"Rukindipur, Rural Dispensary(RD)",0,0,0,0,0,125,82,44,31,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,178,0,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,5,"Sonamukhi, Rural Dispensary(RD)",19,26,12,9,14,247,141,126,121,202,0,0,9,16,0,0,16,16,0,0,0,16,12,15,270,265,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,6,"Tilakpur, UH&FWC",0,0,0,0,0,396,243,189,140,584,0,0,0,56,0,0,56,0,0,0,0,56,48,104,140,354,0
01,Rajshahi,0110,Joypurhat,011002,Akkelpur,7,"Raikhali, Akkelpur, MCWC",0,0,0,0,0,204,161,115,120,507,0,0,43,75,0,0,75,33,0,4,0,75,73,105,160,298,11
01,Rajshahi,0110,Joypurhat,011003,Panchbibi,1,"Panchbibi, Sadar Clinic",0,0,0,0,0,71,40,46,22,125,0,0,0,0,0,0,0,0,0,0,0,0,2,27,14,117,0
01,Rajshahi,0110,Joypurhat,011003,Panchbibi,2,"Aolai, Rural Dispensary(RD)",0,0,0,0,0,114,69,47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,44,16,0,0
01,Rajshahi,0110,Joypurhat,011003,Panchbibi,3,"Atapur, UH&FWC",0,0,0,0,0,285,158,96,7,0,0,0,0,9,0,0,9,1,0,0,0,9,117,193,64,0,0
