Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,No. of neonatal start KMC,No. of neonatal start KMC hospital delivery,No. of child discharge,No. of child discharge on request,No. of child discontinue KMC services,No. of child reffered for complication,No. of death received KMC services,No. of neonatal KMC followup,BCG (after birth),1/Child age 6 weeks,2/Child age 10 weeks,3/Child age 14 weeks,1/Child age 6 weeks (PCV),2/Child age 10 weeks (PCV),3/Child age 14 weeks (PCV),1/Child age 6 weeks (BOPV),2/Child age 10 weeks (BOPV),3/Child age 14 weeks (BOPV),1/Child age 6 weeks (IPV),2/Child age 14 weeks (IPV),1/Child age 9 months,2/Child age 15 months,Live Birth,Low birth weight Newborn (weight <2500gm),Low birth weight Newborn (weight <2000gm),Low birth weight Newborn (Before 37 weeks),Fresh,Macerated,Total still birth,Neo-Death Maternal,Maternal Death,Male,Female,Child Male (0-1)year,Child Female (0-5)year,Others,Total,Female (Outdoor),Child (0-1) year,Child (0-5) year,Total (Outdoor),No. of Facility Health Education,No. of School Health Education by SACMO
01,Rajshahi,0109,Bogura,010901,Sariakandi,11,"Narchi, UH&FWC",0,0,0,0,0,0,0,0,6,12,12,12,12,12,12,12,12,12,0,8,7,7,0,0,0,0,0,0,0,0,0,440,4758,428,747,137,6510,0,0,0,,44,37
01,Rajshahi,0109,Bogura,010901,Sariakandi,12,"Sariakandi, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,2031,199,609,84,3120,0,0,0,,64,16
01,Rajshahi,0109,Bogura,010902,Sherpur,1,"Bhabanipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,214,2783,175,766,0,3938,0,0,0,,52,46
01,Rajshahi,0109,Bogura,010902,Sherpur,2,"Bishalpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,409,32,66,0,585,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,3,"Garidaha, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,442,43,61,0,642,0,0,0,,2,0
01,Rajshahi,0109,Bogura,010902,Sherpur,4,"Khamarkandi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,834,47,222,0,1154,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,5,"Khanpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,1342,74,252,0,2005,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,6,"Kusumbi, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,560,22,48,0,709,0,0,0,,25,0
01,Rajshahi,0109,Bogura,010902,Sherpur,7,"Mirzapur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,731,4287,285,834,0,6137,0,0,0,,88,37
01,Rajshahi,0109,Bogura,010902,Sherpur,8,"Shimabari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1057,3881,497,738,0,6173,0,0,0,,44,51
01,Rajshahi,0109,Bogura,010902,Sherpur,9,"Sughat, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,248,2219,197,548,33,3245,0,0,0,,96,4
01,Rajshahi,0109,Bogura,010902,Sherpur,10,"Pouroshova, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1634,165,329,0,2247,0,0,0,,12,4
01,Rajshahi,0109,Bogura,010903,Shibganj,1,"Shibganj, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,565,122,352,115,1231,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,2,"Atmul, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,293,3208,213,959,10,4683,0,0,0,,4,0
01,Rajshahi,0109,Bogura,010903,Shibganj,3,"Bihar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1642,199,410,106,2474,0,0,0,,4,0
01,Rajshahi,0109,Bogura,010903,Shibganj,4,"Buriganj, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,390,2323,223,575,0,3511,0,0,0,,48,0
01,Rajshahi,0109,Bogura,010903,Shibganj,5,"Deuli, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,2274,145,286,32,2930,0,0,0,,52,36
01,Rajshahi,0109,Bogura,010903,Shibganj,6,"Kichak, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,1304,80,288,270,2308,0,0,0,,52,44
01,Rajshahi,0109,Bogura,010903,Shibganj,7,"Maidanhata, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,631,49,137,52,930,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,8,"Majhihatta, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,2730,187,664,0,3844,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,9,"Mokamtala, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,982,57,219,4,1270,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,10,"Pirab, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1289,67,236,0,1690,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,11,"Rainagar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,343,3312,191,707,51,4604,0,0,0,,37,28
01,Rajshahi,0109,Bogura,010903,Shibganj,12,"Saidpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,740,112,182,0,1071,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,13,"Shibganj, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,1848,221,304,0,3560,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,1,"Dhunot, MCH-FP Unit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1299,157,391,141,2081,0,0,0,,17,0
01,Rajshahi,0109,Bogura,010904,Dhunot,2,"Bhandarbari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,295,46,128,0,534,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,3,"Chaukibari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,533,2665,186,668,18,4070,0,0,0,,8,26
01,Rajshahi,0109,Bogura,010904,Dhunot,4,"Chikashi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,1516,231,301,74,2352,0,0,0,,96,42
01,Rajshahi,0109,Bogura,010904,Dhunot,5,"Dhunat, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1877,165,730,0,2880,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,6,"Elangi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,1935,302,733,232,3637,0,0,0,,32,37
01,Rajshahi,0109,Bogura,010904,Dhunot,7,"Gopalnagar, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,283,30,63,0,418,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,8,"Gosainbari, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,56,72,0,682,0,0,0,,1,0
01,Rajshahi,0109,Bogura,010904,Dhunot,9,"Kaler Para, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,444,49,97,10,607,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,10,"Mathurapur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,1281,115,532,0,2114,0,0,0,,48,35
01,Rajshahi,0109,Bogura,010904,Dhunot,11,"Nimgachhi, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1315,171,276,0,1882,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,1,"Chamrul, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,1732,374,1557,45,4440,0,0,0,,25,21
01,Rajshahi,0109,Bogura,010905,Dupchanchia,2,"Dhupchanchia, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,876,87,311,0,1432,0,0,0,,84,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,3,"Gobindapur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1500,129,359,168,2542,0,0,0,,32,18
01,Rajshahi,0109,Bogura,010905,Dupchanchia,4,"Gunahar, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,5,"Talora, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,935,87,441,0,1643,0,0,0,,14,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,6,"Zianagar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1073,2289,254,828,0,4444,0,0,0,,48,40
01,Rajshahi,0109,Bogura,010905,Dupchanchia,7,"Dupchanchia, Bogra, MCWC",0,0,0,0,0,0,0,0,48,47,52,42,47,53,43,45,53,43,0,45,44,34,270,0,0,0,0,0,0,0,0,98,1163,162,566,0,1989,215,0,0,,72,0
01,Rajshahi,0109,Bogura,010906,Nandigram,1,"Nandigram, MCH-FP Unit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,894,151,204,0,1562,0,0,0,,52,0
01,Rajshahi,0109,Bogura,010906,Nandigram,2,"Burail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1127,2779,372,521,0,4799,0,0,0,,48,40
01,Rajshahi,0109,Bogura,010906,Nandigram,3,"Nandigram, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,3444,297,880,0,5236,0,0,0,,48,36
01,Rajshahi,0109,Bogura,010906,Nandigram,4,"Thalta Majhgram, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,1813,111,486,0,2985,0,0,0,,32,0
01,Rajshahi,0109,Bogura,010906,Nandigram,5,"Kumira, Nandigram, MCWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,1605,167,723,0,3045,0,0,0,,8,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,1,"Adamdighi, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2020,181,339,0,2671,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,2,"Champapur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,524,138,138,18,865,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,3,"Chhatiangram, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,1,0,0,0,0,0,0,665,94,364,0,1123,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,4,"Kundagram, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,710,93,181,0,1061,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,5,"Nasratpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,662,88,157,141,1099,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,6,"Shantahar (KA), Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,654,81,141,0,924,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,7,"Shantahar (KHA), Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,669,86,157,0,976,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,1,"Erulia, UH&FWC",0,0,0,0,0,0,0,0,266,259,276,246,235,265,238,225,231,203,0,241,209,217,0,0,0,0,0,0,0,0,0,249,3827,783,669,11,5539,0,0,0,,52,44
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,2,"Fapore, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4006,292,950,5,5358,0,0,0,,20,7
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,3,"Gokul, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,1486,79,303,0,2223,0,0,0,,16,36
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,4,"Lahiri Para, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,2437,175,589,71,3671,0,0,0,,52,41
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,5,"Namuja, UH&FWC",0,0,0,0,0,0,0,0,0,21,15,15,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,0,580,3077,300,615,11,4583,0,0,0,,48,40
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,6,"Nishindara, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,5299,509,1074,0,7387,0,0,0,,45,38
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,7,"Noongola, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,2924,269,503,889,5026,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,8,"Rajapur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3880,440,1330,11,5861,705,543,0,,21,12
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,9,"Sekherkola, UH&FWC",0,0,0,0,0,0,0,0,6,8,5,8,8,5,7,4,3,8,0,6,4,6,0,0,0,0,0,0,0,0,0,538,2446,252,713,103,4052,0,0,0,,43,40
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,10,"Shabgram, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,55,2425,167,436,0,3083,12,12,0,,86,41
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,11,"Shakharia, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,4841,338,1094,240,6997,0,0,0,,44,41
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,12,"Bogra, MCWC",0,0,0,0,0,0,0,0,739,752,503,497,728,486,461,648,479,441,0,479,446,409,443,3,0,0,0,0,0,0,0,217,4306,1625,903,665,7716,47,2,0,,132,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,13,"Noongola, Bogra Sadar, MCWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1362,104,506,0,2078,0,0,0,,3,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,1,"Kahaloo, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,4472,221,450,0,5829,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,2,"Bir Kedar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,3189,198,794,0,4503,0,0,0,,40,9
01,Rajshahi,0109,Bogura,010909,Kahaloo,3,"Durgapur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,689,69,181,0,1016,68,0,0,,21,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,4,"Jamgaon, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,2244,198,402,166,3724,0,0,0,,0,34
01,Rajshahi,0109,Bogura,010909,Kahaloo,5,"Kalal Majh Para, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1048,87,205,0,1520,156,0,0,,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,6,"Malancha, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,895,105,203,0,1367,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,7,"Narahatta, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,2264,229,424,0,3293,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,8,"Paikar, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,2535,179,547,92,4605,0,0,0,,46,13
01,Rajshahi,0109,Bogura,010909,Kahaloo,9,"Muril, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,790,4717,165,773,0,6445,10,10,0,,45,32
01,Rajshahi,0109,Bogura,010910,Gabtali,1,"Gabtali, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,623,100,153,0,936,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,2,"Balia Dighi, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,653,28,33,0,804,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,3,"Durgahata, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,3475,384,410,0,4851,0,0,0,,0,8
01,Rajshahi,0109,Bogura,010910,Gabtali,4,"Gabtali, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,159,74,47,0,344,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,5,"Kagail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,2344,319,711,182,3879,0,0,0,,12,12
01,Rajshahi,0109,Bogura,010910,Gabtali,6,"Mahishaban, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1310,168,244,128,1988,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,7,"Naruamala, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,1877,171,471,17,2749,0,0,0,,12,1
01,Rajshahi,0109,Bogura,010910,Gabtali,8,"Nasipur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,343,2538,235,592,0,3708,0,0,0,,26,24
01,Rajshahi,0109,Bogura,010910,Gabtali,9,"Nepaltali, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1719,278,256,0,2505,0,0,0,,27,0
01,Rajshahi,0109,Bogura,010910,Gabtali,10,"Rameshwarpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1302,39,288,2,1738,0,0,0,,18,0
01,Rajshahi,0109,Bogura,010910,Gabtali,11,"Sonarai, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,2613,165,723,161,4589,0,0,0,,12,12
