Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,Wrapping after Birth within 1 minute,No. of uses 7.1% chlorhexidine digluconate for umbilical cord care,No. of newborn touch skin-care after Gluconate umbilical cord care,No. of newborn breastfeeding (First 24 hours),No. of newborn resitated with bag-mask,1st Visit,2nd Visit,3rd Visit,4th Visit,No. of Reffered Complicated Pregnant Mother in antenatal period,No. of Reffered Complicated Pregnant Mother in Delivery period,No. of Reffered Complicated Pregnant Mother in postnatal period,No. of Reffered patient to Newborn taken by MgSO4,No. of Reffered complication acceptors,No. of ECP Referred,Treatment/Advised,Reffered,Counseling on Adolescence change,Counseling on marriage and adolescent girl received pregnancy,Child No. of adolescent received IFA,Treatment on RTI/STD,Counseling on RTI/STD,Counseling on diversified food,Counseling on prevention of adolescent and violence,Counseling on prevention and cure for mental problems and drug addiction,No. of adolescent girl counseled on Sanitary Pad,Reffered (Adolescent),No. of Treatment on RTI/STI infection,No. of MR(MVA) services,No. of MR Service By Medicine,Total VIA Positive,Total VIA Negative,Total CBE Positive,Total Negative
01,Rajshahi,0109,Bogura,010901,Sariakandi,11,"Narchi, UH&FWC",0,0,0,0,0,15,10,38,25,1,1,0,0,0,0,1,0,230,230,84,230,230,230,230,230,230,0,34,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,12,"Sariakandi, Sadar Clinic",0,0,0,0,0,0,13,7,86,4,1,1,1,0,0,0,0,42,53,42,42,42,54,42,42,49,0,101,0,3,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,1,"Bhabanipur, UH&FWC",14,14,14,14,5,17,31,75,120,26,20,0,0,0,0,19,19,333,333,140,333,50,333,333,333,333,0,123,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,2,"Bishalpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,88,88,58,88,3,88,88,88,88,0,34,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,3,"Garidaha, Rural Dispensary(RD)",0,0,0,0,0,1,1,11,33,0,0,0,0,0,0,1,0,45,45,30,42,20,45,34,45,43,0,39,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,4,"Khamarkandi, UH&FWC",0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,150,150,63,150,3,150,150,150,150,0,33,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,5,"Khanpur, UH&FWC",0,0,0,0,0,0,7,18,26,10,0,0,0,0,0,22,14,206,206,16,206,39,206,170,175,195,0,87,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,6,"Kusumbi, Rural Dispensary(RD)",0,0,0,0,0,13,13,68,73,0,0,0,0,0,0,2,0,160,153,22,153,22,160,125,160,123,0,45,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,7,"Mirzapur, UH&FWC",1,1,1,2,0,1,18,47,46,13,0,0,0,0,0,37,40,429,429,76,424,138,412,264,289,426,0,225,1,5,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,8,"Shimabari, UH&FWC",23,23,23,23,0,107,107,266,306,23,5,5,0,4,0,60,13,900,872,484,958,326,970,724,841,795,0,324,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,9,"Sughat, UH&FWC",22,22,22,19,0,22,20,35,51,8,0,0,0,0,2,22,5,128,118,67,122,28,144,108,123,167,0,20,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010902,Sherpur,10,"Pouroshova, Sadar Clinic",0,0,0,0,0,0,0,47,153,0,0,0,0,0,0,0,0,295,295,132,295,11,295,295,295,294,0,52,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,1,"Shibganj, Sadar Clinic",0,0,0,0,0,0,15,22,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,2,"Atmul, UH&FWC",2,2,2,2,0,2,4,35,83,10,0,0,0,0,6,7,3,322,322,217,283,102,322,322,332,318,0,37,1,4,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,3,"Bihar, UH&FWC",0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,171,171,150,171,15,171,108,108,171,0,29,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,4,"Buriganj, UH&FWC",10,10,10,10,0,10,44,35,21,0,0,0,0,0,8,0,0,610,610,531,610,0,610,105,178,537,0,12,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,5,"Deuli, UH&FWC",0,0,0,0,0,0,5,13,4,0,0,0,0,0,8,0,0,340,340,193,340,33,340,340,340,340,0,3,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,6,"Kichak, UH&FWC",0,0,0,0,0,0,0,2,5,1,0,0,0,0,6,0,0,219,219,219,219,22,219,219,219,219,1,59,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,7,"Maidanhata, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,19,0,0,0,0,0,10,0,0,107,107,32,107,4,107,107,107,107,0,25,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,8,"Majhihatta, UH&FWC",0,0,0,0,0,0,22,22,38,0,0,0,0,0,8,0,0,180,196,147,112,77,291,43,56,199,0,31,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,9,"Mokamtala, Rural Dispensary(RD)",0,0,0,0,0,0,12,14,12,0,0,0,0,0,0,0,0,111,135,98,67,32,212,8,5,142,0,36,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,10,"Pirab, Rural Dispensary(RD)",0,0,0,0,0,0,18,11,4,0,0,0,0,0,9,0,0,111,93,99,66,37,200,20,14,119,0,26,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,11,"Rainagar, UH&FWC",1,1,1,1,0,1,11,33,61,3,3,1,0,0,0,19,0,318,269,232,248,62,350,228,201,280,0,57,0,6,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,12,"Saidpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,7,31,0,0,0,0,0,0,10,0,127,117,67,104,21,139,97,89,112,0,19,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010903,Shibganj,13,"Shibganj, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,249,174,1,0,180,212,0,284,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,1,"Dhunot, MCH-FP Unit",0,0,0,0,0,80,66,61,46,10,0,0,0,0,0,0,0,291,291,210,291,93,291,278,257,291,0,69,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,2,"Bhandarbari, UH&FWC",0,0,0,0,0,0,0,0,28,13,0,0,0,0,20,8,0,84,84,64,81,22,84,10,10,75,0,10,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,3,"Chaukibari, UH&FWC",5,5,5,5,0,5,2,41,42,1,3,0,0,0,13,0,0,379,321,171,301,191,266,111,36,233,0,272,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,4,"Chikashi, UH&FWC",0,0,0,0,0,0,17,42,55,0,0,0,0,0,2,30,0,849,929,81,894,25,929,929,929,879,0,64,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,5,"Dhunat, Sadar Clinic",0,0,0,0,0,0,0,6,77,47,0,0,0,0,20,12,0,373,373,270,346,52,373,10,10,373,0,19,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,6,"Elangi, UH&FWC",0,0,0,0,0,5,10,25,35,0,0,0,0,0,0,0,0,312,302,137,289,30,312,312,312,284,0,38,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,7,"Gopalnagar, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,30,18,35,26,26,5,0,0,0,20,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,8,"Gosainbari, Rural Dispensary(RD)",0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,57,42,45,37,58,57,42,2,72,0,54,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,9,"Kaler Para, Rural Dispensary(RD)",0,0,0,0,0,1,11,24,32,1,0,0,0,0,0,0,0,54,63,58,47,22,63,55,44,72,0,4,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,10,"Mathurapur, UH&FWC",0,0,0,0,0,0,0,5,11,0,0,0,0,0,10,19,18,147,145,79,131,99,149,155,173,174,0,59,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010904,Dhunot,11,"Nimgachhi, UH&FWC",0,0,0,0,0,0,14,51,107,6,0,0,0,0,5,0,0,139,136,169,108,34,157,134,140,197,0,20,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,1,"Chamrul, UH&FWC",0,0,0,0,0,0,0,18,57,0,0,0,0,0,5,0,0,103,87,93,100,89,91,91,86,88,3,37,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,2,"Dhupchanchia, Sadar Clinic",0,0,0,0,0,0,2,6,73,2,0,0,0,0,1,61,2,144,122,48,131,27,142,115,134,142,0,93,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,3,"Gobindapur, UH&FWC",0,0,0,0,0,0,0,0,35,0,5,0,0,0,1,0,7,91,81,66,64,23,95,73,77,103,0,48,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,4,"Gunahar, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,5,"Talora, UH&FWC",0,0,0,0,0,0,0,7,102,6,0,0,0,0,0,0,0,191,164,83,192,35,173,160,142,161,0,72,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,6,"Zianagar, UH&FWC",17,17,17,17,0,17,5,28,56,9,0,0,0,0,5,0,0,229,218,171,155,56,229,124,104,222,0,56,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010905,Dupchanchia,7,"Dupchanchia, Bogra, MCWC",270,270,270,270,23,270,125,82,49,16,4,0,0,0,3,0,0,130,25,74,44,16,64,13,13,95,0,43,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010906,Nandigram,1,"Nandigram, MCH-FP Unit",0,0,0,0,0,0,4,39,34,0,0,0,0,0,3,0,0,95,115,203,69,18,89,23,20,69,0,3,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010906,Nandigram,2,"Burail, UH&FWC",5,5,5,5,0,40,119,135,140,0,4,0,0,0,0,0,0,131,180,298,99,34,164,36,42,124,0,5,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010906,Nandigram,3,"Nandigram, UH&FWC",0,0,0,0,0,117,23,0,0,0,0,0,0,0,0,0,0,153,155,52,129,1,121,121,94,120,0,10,0,1,0,0,0,0
01,Rajshahi,0109,Bogura,010906,Nandigram,4,"Thalta Majhgram, UH&FWC",0,0,0,0,0,5,5,5,5,0,0,0,0,0,1,0,0,26,27,14,12,0,15,6,6,7,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010906,Nandigram,5,"Kumira, Nandigram, MCWC",0,0,0,0,0,46,14,0,0,0,0,0,0,0,6,0,0,168,168,60,148,6,123,90,88,103,0,7,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,1,"Adamdighi, Sadar Clinic",0,0,0,0,0,0,13,54,94,26,9,0,0,0,8,0,0,50,50,50,50,27,50,50,50,50,6,60,3,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,2,"Champapur, Rural Dispensary(RD)",0,0,0,0,0,0,3,22,37,16,0,0,0,0,0,0,0,23,23,23,23,13,23,23,23,23,0,21,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,3,"Chhatiangram, Rural Dispensary(RD)",34,34,34,34,4,34,44,28,44,29,23,3,0,1,7,0,0,51,51,22,51,0,51,51,51,51,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,4,"Kundagram, Rural Dispensary(RD)",0,0,0,0,0,0,6,15,46,2,0,0,0,0,2,0,0,32,32,32,32,16,32,38,32,32,0,34,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,5,"Nasratpur, Rural Dispensary(RD)",0,0,0,0,0,0,4,12,23,22,2,0,0,0,3,0,0,23,23,23,23,13,23,23,23,23,0,27,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,6,"Shantahar (KA), Rural Dispensary(RD)",0,0,0,0,0,0,3,18,39,1,0,0,0,1,0,0,0,24,24,24,24,14,24,24,24,24,0,23,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010907,Adamdighi,7,"Shantahar (KHA), Rural Dispensary(RD)",0,0,0,0,0,0,2,20,40,2,0,0,0,0,0,0,0,23,23,23,21,15,23,23,23,32,0,23,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,1,"Erulia, UH&FWC",0,0,0,0,0,0,131,140,57,0,0,0,0,0,0,0,0,587,543,341,628,152,611,466,453,582,0,153,63,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,2,"Fapore, UH&FWC",0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,733,733,124,699,0,653,437,498,566,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,3,"Gokul, UH&FWC",0,0,0,0,0,0,0,19,16,1,0,0,0,0,0,0,0,17,21,12,21,0,21,21,21,65,3,1,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,4,"Lahiri Para, UH&FWC",0,0,0,0,0,0,7,35,25,16,0,0,0,0,0,9,1,406,407,281,411,79,406,411,406,357,0,142,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,5,"Namuja, UH&FWC",0,0,0,0,0,4,42,116,158,36,0,0,0,0,0,0,0,623,623,395,623,26,623,623,623,623,0,42,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,6,"Nishindara, UH&FWC",0,0,0,0,0,0,0,21,87,11,0,0,0,0,0,2,0,322,322,152,322,76,322,322,243,322,0,145,0,1,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,7,"Noongola, UH&FWC",0,0,0,0,0,0,9,26,35,24,0,0,0,0,0,0,0,67,67,258,67,34,67,67,67,67,0,35,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,8,"Rajapur, UH&FWC",0,0,0,0,0,2,9,12,21,0,0,0,0,0,0,3,12,265,235,602,114,0,192,66,111,136,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,9,"Sekherkola, UH&FWC",0,0,0,0,0,1,6,23,4,10,0,0,0,0,8,0,0,337,337,81,337,0,337,338,338,338,0,1,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,10,"Shabgram, UH&FWC",15,15,15,15,1,15,6,10,52,23,4,1,0,0,8,7,0,166,154,40,167,96,168,162,99,144,0,66,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,11,"Shakharia, UH&FWC",0,0,0,0,0,0,55,67,100,0,1,0,0,0,0,42,0,534,490,370,456,70,518,480,456,492,2,27,0,1,0,0,0,0
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,12,"Bogra, MCWC",443,443,435,443,0,443,349,296,274,12,6,0,0,0,0,4,0,596,596,553,596,0,596,596,596,596,78,69,0,3,0,111,0,112
01,Rajshahi,0109,Bogura,010908,Bogra Sadar,13,"Noongola, Bogra Sadar, MCWC",0,0,0,0,0,0,2,10,19,2,0,0,0,0,4,7,2,180,170,66,174,27,179,168,157,161,0,25,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,1,"Kahaloo, Sadar Clinic",0,0,0,0,0,2,19,21,10,4,0,0,0,0,1,10,13,239,26,125,30,13,15,14,13,207,13,75,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,2,"Bir Kedar, UH&FWC",0,0,0,0,0,0,9,18,25,0,0,0,0,0,3,5,5,258,137,231,100,17,196,86,104,153,0,30,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,3,"Durgapur, Rural Dispensary(RD)",0,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0,47,167,81,44,48,0,65,35,32,118,0,20,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,4,"Jamgaon, UH&FWC",0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,37,37,197,260,156,54,95,370,260,189,276,4,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,5,"Kalal Majh Para, Rural Dispensary(RD)",0,0,0,0,0,0,17,26,39,13,0,0,0,0,0,13,13,121,13,172,13,13,128,13,13,131,13,29,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,6,"Malancha, Rural Dispensary(RD)",0,0,0,0,0,0,15,25,33,12,1,0,0,0,0,13,13,104,13,127,13,13,128,13,13,110,13,26,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,7,"Narahatta, Rural Dispensary(RD)",0,0,0,0,0,0,27,42,70,21,0,0,0,0,1,26,26,156,28,252,19,19,169,26,26,145,26,39,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,8,"Paikar, UH&FWC",0,0,0,0,0,0,4,7,6,6,0,0,0,0,0,0,0,108,109,134,98,12,112,102,102,112,0,6,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010909,Kahaloo,9,"Muril, UH&FWC",10,2,10,10,0,10,15,31,125,0,0,0,0,0,12,7,4,386,403,225,203,38,360,232,212,403,0,48,0,3,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,1,"Gabtali, Sadar Clinic",0,0,0,0,0,38,53,17,9,0,0,0,0,0,0,0,0,45,45,35,45,5,45,45,45,45,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,2,"Balia Dighi, Rural Dispensary(RD)",0,0,0,0,0,2,2,10,8,0,0,0,0,0,0,0,0,49,52,58,46,4,52,51,44,52,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,3,"Durgahata, UH&FWC",0,0,0,0,0,0,11,105,163,0,0,0,0,0,0,5,19,163,166,283,49,22,159,117,94,223,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,4,"Gabtali, Sadar Clinic",0,0,0,0,0,5,23,12,8,0,0,0,0,0,10,2,0,43,43,43,43,0,43,43,43,39,5,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,5,"Kagail, UH&FWC",0,0,0,0,0,0,5,48,115,0,0,0,0,0,14,0,0,341,348,192,337,22,543,300,287,505,0,22,1,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,6,"Mahishaban, Rural Dispensary(RD)",0,0,0,0,0,0,7,8,8,2,0,0,0,0,4,2,2,49,55,42,45,34,49,32,26,47,3,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,7,"Naruamala, UH&FWC",0,0,0,0,0,0,7,20,43,11,0,0,0,0,5,6,0,143,143,101,136,0,143,143,143,143,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,8,"Nasipur, UH&FWC",1,1,1,1,0,4,52,51,60,14,0,0,0,0,11,12,0,112,93,293,79,14,67,93,170,232,0,156,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,9,"Nepaltali, Rural Dispensary(RD)",0,0,0,0,0,13,6,27,25,37,0,0,0,0,2,13,0,56,51,37,48,6,46,47,45,45,0,3,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,10,"Rameshwarpur, Rural Dispensary(RD)",0,0,0,0,0,7,4,11,12,13,0,0,0,0,0,5,0,49,47,50,42,9,43,39,41,45,0,2,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,11,"Sonarai, UH&FWC",0,0,0,0,0,20,37,43,144,3,0,0,0,0,1,0,0,431,407,298,412,151,704,242,265,319,0,22,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010910,Gabtali,12,"Dhakhinpara, UH&FWC",0,0,0,0,0,0,8,21,105,0,0,0,0,0,10,32,0,261,268,154,260,72,300,317,295,321,19,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,1,"Sonatola, Sadar Clinic",0,0,0,0,0,0,31,45,69,0,0,0,0,0,0,0,0,111,133,140,140,112,160,72,72,152,0,36,11,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,2,"Balua, Rural Dispensary(RD)",0,0,0,0,0,0,62,64,77,0,0,0,0,0,0,0,0,129,210,200,85,82,203,37,37,167,0,60,12,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,3,"Digdair, UH&FWC",8,8,8,8,0,8,7,62,195,8,0,0,0,0,5,0,0,615,512,244,363,119,615,615,603,327,0,1,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,4,"Jorgachha, UH&FWC",0,0,0,0,0,0,0,8,48,0,0,0,0,0,0,0,0,34,32,17,33,45,35,36,38,37,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,5,"Madhupur, UH&FWC",5,5,5,5,0,5,58,77,77,0,0,0,0,0,0,0,0,183,181,49,181,197,190,189,181,190,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,6,"Tekani Chukainagar, UH&FWC",0,0,0,0,0,0,24,34,50,0,0,0,0,0,0,0,0,94,97,18,94,92,95,97,100,97,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010911,Sonatola,7,"pakullah, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,433,142,318,63,433,433,433,263,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,1,"Shajahanpur, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,2,"Ashekpur, UH&FWC",4,4,4,4,0,4,18,27,125,5,1,1,0,0,10,3,0,873,965,282,896,158,859,751,700,935,0,89,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,3,"Mazira, UH&FWC",0,0,0,0,0,1,12,7,42,2,0,0,0,0,3,0,0,162,162,128,162,30,162,163,162,152,0,26,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,4,"Amrul, UH&FWC",0,0,0,0,0,0,10,40,172,0,0,0,0,0,14,0,0,488,488,488,488,39,493,493,493,493,0,34,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,5,"Madla, UH&FWC",0,0,0,0,0,4,20,64,230,52,0,0,0,0,0,0,0,318,313,211,294,60,364,242,242,364,8,26,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,6,"Sultangoanj, UH&FWC",0,0,0,0,0,5,49,45,51,0,0,0,0,0,18,0,0,316,316,262,316,296,316,316,316,247,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,7,"Aria, UH&FWC",0,0,0,0,0,0,13,21,52,0,0,0,0,0,3,0,0,486,486,350,462,145,486,248,248,456,0,90,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010912,Shajahanpur,8,"Kharna, UH&FWC",0,0,0,0,0,4,45,42,37,0,0,0,0,0,0,0,0,680,680,66,680,630,680,680,680,680,0,307,0,0,0,0,0,0
